VehID,int,Hr,link_speed_av,NOx,HC,CO,PM,PN,NO,veh_group
6310_156,450879911,450867387,0.4960317441395351,0.004111042786479253,0.0043072605464214275,0.025503886730162368,8.209881792804893e-5,78512315954.20801,0.0018342177183459185,car
6310_156,450879912,450867387,1.1111111640930176,0.0017618754799196797,0.0018459688056091834,0.010930237170069586,3.518520768344954e-5,33648135408.94629,7.860933078625365e-4,car
6310_157,450878893,450866369,0,0.014682295665997332,0.015383073380076526,0.0910853097505799,2.932100640287462e-4,280401128407.88574,0.0065507775655211375,car
6310_157,450879911,450867387,0,0.0017618754799196797,0.0018459688056091834,0.010930237170069586,3.518520768344954e-5,33648135408.94629,7.860933078625365e-4,car
6310_158,450878893,450866369,0,0.0035237509598393594,0.003691937611218367,0.02186047434013917,7.037041536689908e-5,67296270817.89258,0.001572186615725073,car
6310_158,450879911,450867387,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_159,450878893,450866369,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_159,450879911,450867387,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_160,450878893,450866369,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_160,450879911,450867387,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_161,450878893,450866369,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_161,450879911,450867387,0,0.0035237509598393594,0.003691937611218367,0.02186047434013917,7.037041536689908e-5,67296270817.89258,0.001572186615725073,car
6310_161,450879912,450867387,0,0.0017618754799196797,0.0018459688056091834,0.010930237170069586,3.518520768344954e-5,33648135408.94629,7.860933078625365e-4,car
6310_163,450878893,450866369,0,0.002349167306559573,0.0024612917408122444,0.014573649560092782,4.691361024459939e-5,44864180545.26172,0.001048124410483382,car
6310_163,450879911,450867387,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_164,450878893,450866369,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_164,450879911,450867387,0.02777777910232544,0.002936459133199466,0.0030766146760153055,0.01821706195011598,5.864201280574924e-5,56080225681.577156,0.0013101555131042274,car
6310_164,450879912,450867387,0.2777777810891469,0.0017618754799196797,0.0018459688056091834,0.010930237170069586,3.518520768344954e-5,33648135408.94629,7.860933078625365e-4,car
6310_165,450878893,450866369,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_165,450879911,450867387,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_166,450878893,450866369,0,0.01644417114591701,0.01722904218568571,0.10201554692064947,3.283952717121957e-4,314049263816.83203,0.007336870873383674,car
6310_166,450878894,450866369,0,0.002936459133199466,0.0030766146760153055,0.01821706195011598,5.864201280574924e-5,56080225681.577156,0.0013101555131042274,car
6310_166,450878894,450866370,0,0.027015424025435088,0.02830485501934081,0.167596969941067,5.39506517812893e-4,515938076270.50977,0.012053430720558892,car
6310_166,450879911,450867387,0,0.002349167306559573,0.0024612917408122444,0.014573649560092782,4.691361024459939e-5,44864180545.26172,0.001048124410483382,car
6310_166,450879912,450867387,0,0.0017618754799196797,0.0018459688056091834,0.010930237170069586,3.518520768344954e-5,33648135408.94629,7.860933078625365e-4,car
6310_167,450878893,450866369,0,0.015856879319277116,0.01661371925048265,0.09837213453062628,3.166668691510459e-4,302833218680.5166,0.007074839770762828,car
6310_167,450878894,450866369,0,0.002936459133199466,0.0030766146760153055,0.01821706195011598,5.864201280574924e-5,56080225681.577156,0.0013101555131042274,car
6310_167,450878894,450866370,0,0.047570637957831355,0.049841157751447956,0.29511640359187885,9.500006074531376e-4,908499656041.5498,0.021224519312288484,car
6310_167,450878895,450866370,0,0.0035237509598393594,0.003691937611218367,0.02186047434013917,7.037041536689908e-5,67296270817.89258,0.001572186615725073,car
6310_167,450878895,450866371,0,0.007634793746318612,0.007999198157639794,0.04736436107030154,1.5246923329494802e-4,145808586772.1006,0.0034064043340709914,car
6310_167,450879911,450867387,0,0.002349167306559573,0.0024612917408122444,0.014573649560092782,4.691361024459939e-5,44864180545.26172,0.001048124410483382,car
6310_167,450879912,450867387,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_168,450878893,450866369,0.05747126710825953,0.017031462972556904,0.017844365120888772,0.10565895931067266,3.4012367427334555e-4,325265308953.14746,0.007598901976004519,car
6310_168,450878894,450866369,0.2083333432674408,0.002349167306559573,0.0024612917408122444,0.014573649560092782,4.691361024459939e-5,44864180545.26172,0.001048124410483382,car
6310_168,450878894,450866370,0.5774853817726436,0.05847732798819854,0.04839049840616628,0.2892276422860152,0.0013084193781667877,1377559378402.8013,0.026908472433134892,car
6310_168,450879911,450867387,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_169,450878893,450866369,0.842013880610466,0.009396669226238292,0.009845166963248978,0.05829459824037113,1.8765444097839756e-4,179456722181.04688,0.004192497641933528,car
6310_169,450879911,450867387,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_169,450879912,450867387,0,0.0017618754799196797,0.0018459688056091834,0.010930237170069586,3.518520768344954e-5,33648135408.94629,7.860933078625365e-4,car
6310_170,450878893,450866369,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_170,450879912,450867387,0,0.0017618754799196797,0.0018459688056091834,0.010930237170069586,3.518520768344954e-5,33648135408.94629,7.860933078625365e-4,car
6310_171,450878893,450866369,0,0.0017618754799196797,0.0018459688056091834,0.010930237170069586,3.518520768344954e-5,33648135408.94629,7.860933078625365e-4,car
6310_171,450879912,450867387,0,0.0017618754799196797,0.0018459688056091834,0.010930237170069586,3.518520768344954e-5,33648135408.94629,7.860933078625365e-4,car
6310_172,450878893,450866369,1.2019230677531314,0.02643697681136922,0.017312131521707592,0.10461776977213284,6.438216945790859e-4,719267928664.3875,0.012452598496065784,car
6310_172,450878894,450866369,2.3333333492279054,0.009163630599787243,0.0038088772423637072,0.02373969604863738,2.4725152455487825e-4,293955779202.0664,0.004455377360200521,car
6310_172,450878894,450866370,2.0238095351627896,0.010331096196947479,0.005038779508387481,0.031017658473189567,2.706030840748803e-4,316297822326.63855,0.004975734841782994,car
6310_172,450879912,450867387,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_173,450878893,450866369,0.07716049088372125,0.010571252879518078,0.0110758128336551,0.06558142302041751,2.1111124610069727e-4,201888812453.67773,0.004716559847175219,car
6310_173,450879912,450867387,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_174,450878893,450866369,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_174,450879912,450867387,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_175,450878893,450866369,0.1923076923076923,0.00888193550828797,0.008145829045616119,0.04847101377858176,1.9021638180238273e-4,193405297851.3447,0.004036337387058553,car
6310_176,450878893,450866369,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_177,450878893,450866369,0,0.014095003839357438,0.014767750444873468,0.08744189736055669,2.8148166146759634e-4,269185083271.5703,0.006288746462900292,car
6310_177,450878894,450866369,0,0.002936459133199466,0.0030766146760153055,0.01821706195011598,5.864201280574924e-5,56080225681.577156,0.0013101555131042274,car
6310_177,450878894,450866370,2.0713305933240016,0.10523524329999111,0.056617109736447326,0.3463910687403715,0.0026907472589575085,3101693987467.9263,0.05035554228300306,car
6310_177,450878895,450866370,0.7175925821065903,0.0035237509598393594,0.003691937611218367,0.02186047434013917,7.037041536689908e-5,67296270817.89258,0.001572186615725073,car
6310_177,450878895,450866371,0.01215277798473835,0.046983346131191456,0.04922583481624489,0.29147299120185566,9.382722048919878e-4,897283610905.2345,0.02096248820966764,car
6310_177,450878896,450866371,0,0.0035237509598393594,0.003691937611218367,0.02186047434013917,7.037041536689908e-5,67296270817.89258,0.001572186615725073,car
6310_177,450878896,450866372,0.025720165835486516,0.047570637957831355,0.049841157751447956,0.29511640359187885,9.500006074531376e-4,908499656041.5498,0.021224519312288484,car
6310_177,450878897,450866372,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_178,450878893,450866369,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_179,450878893,450866369,0,0.008222085572958506,0.008614521092842855,0.051007773460324736,1.6419763585609785e-4,157024631908.41602,0.003668435436691837,car
6310_180,450878893,450866369,0,0.008809377399598398,0.009229844028045915,0.054651185850347936,1.759260384172477e-4,168240677044.73145,0.003930466539312683,car
6310_181,450878893,450866369,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
